state_code,state_name
AP,andhra pradesh
AR,arunachal pradesh
AS,assam
BR,bihar
CG,chhattisgarh
GA,goa
GJ,gujarat
HR,haryana
HP,himachal pradesh
JH,jharkhand
KA,karnataka
KL,kerala
MP,madhya pradesh
MH,maharashtra
MN,manipur
ML,meghalaya
MZ,mizoram
NL,nagaland
OD,odisha
PB,punjab
RJ,rajasthan
RJ,rajshthan
RJ,rajsthan
SK,sikkim
TN,tamil nadu
TG,telangana
TR,tripura
UP,uttar pradesh
UK,uttarakhand
WB,west bengal
AN,andaman and nicobar 
CH,chandigarh
DN,dadra and nagar haveli
DL,new delhi
JK,jammu and kashmir
LA,ladakh
LD,lakshadweep
PY,puducherry
RJ,Rajasthan
RAJSHTHAN,Rajasthan
RAJISTHAN,Rajasthan
ORISSA,Odisha
OR,Odisha
PONDICHERRY,Puducherry
PY,Puducherry
